num,category,title,population
135, 안전/환경," 스토킹으로 신변보호 받던 여성 살해한 30대 남성 신상공개 요청합니다
"," 1,590
												"
136, 기타," 요소수 사재기 부족현상 해결해 주세요
"," 1,581
												"
137, 보건복지," 코로나 백신 접종 이후 사망한 아내의 죽음을 명확히 밝혀주세요.
"," 1,573
												"
138, 행정," 부산 임대아파트 분양사기당한 240명 불쌍한 저희 얘기를 들어주세요 .
"," 1,540
												"
139, 보건복지," 코로나 백신 미접종자들을 향한 불이익과 비난을 멈춰주세요.
"," 1,522
												"
140, 기타," 억울한 고인과 유가족에게 힘이 되어주세요
"," 1,520
												"
141, 인권/성평등," 헬스장 백신 패스 도입을 반대합니다.
"," 1,496
												"
142, 저출산/고령화대책," 다문화가정의 고령의 부모 초청비자 관련법 개정이 필요합니다.
"," 1,421
												"
143, 육아/교육," 다시 한번 호소합니다.3년째 여전히 사지마비인 제 아들이 더는 억울하지 않게 도와주세요
"," 1,417
												"
144, 보건복지," 부적절한 의료 행위로 골든 타임을 놓치신 아버지가 세상을 떠났습니다. 과실이 있음에도 과실…
"," 1,402
												"
145, 보건복지," 청소년 두피젠트치료가 보험적용되어 중증아토피 아이가 평범하게 살수있도록 도와주세요
"," 1,389
												"
146, 경제민주화," 오너일가의 이익을 위해 소액주주가 피눈물 흘리는 **홀딩스 주가조작을 엄벌해 주시기 바랍니…
"," 1,386
												"
147, 기타," 코인(가상화폐) 작전세력 사기꾼들을 엄벌해 주십시오.
"," 1,382
												"
148, 보건복지," 저희 아버지는 화이자 백신 2차 접종후에 사망 하셨습니다.
"," 1,375
												"
149, 육아/교육," 2학년 초등학생 반 전체아이를 정신적, 육체적으로 학대한 담임 교사를 엄벌에 처해주세요.
"," 1,369
												"
150, 인권/성평등," 직장내괴롭힘법 이전 괴롭힘도 법 소급적용 해주세요
"," 1,352
												"
151, 보건복지," 백신 접종후 '원인 미상'으로 돌아가신 어머니의 한을 풀어주세요!
"," 1,339
												"
152, 안전/환경," 공동 주택에서 발생되는 층간 소음/벽간 소음에서 살려주세요.  현실적인 <층간소음방지…
"," 1,335
												"
153, 행정," 요소수 파동 정부에서 해결 부탁드립니다.
"," 1,335
												"
154, 보건복지," 백신 미접종자 출입금지
"," 1,332
												"
155, 보건복지," 백신 접종 후 급성심근염으로 고통받는 어머니를 살려주세요!!
"," 1,324
												"
156, 육아/교육," 학교 교원업무정상화 실현해주시기 바랍니다
"," 1,310
												"
157, 보건복지," 장남 백신부작용으로인해 뇌출혈.저희형 도와주세요.
"," 1,308
												"
158, 안전/환경," 고속도로 공사 영향으로 아버지가 아픕니다. 최소한 국민이 피해받지 않는 선에서 공사를 진행…
"," 1,307
												"
159, 육아/교육," 시흥시 ***중학교 설립촉구
"," 1,291
												"
160, 보건복지," 코로나로 접종후 백혈병 진단
"," 1,290
												"
161, 인권/성평등," 갑질교수 처벌 및 대학원생 인권을 위해 법 제정을 부탁드립니다.
"," 1,289
												"
162, 안전/환경," KT에게 통신사로서의 징계를 내리고 제4의 국영통신사를 만들어 주세요
"," 1,258
												"
163, 인권/성평등," 인권 사각지대에 놓인 재중동포 간병인들의 호소문
"," 1,239
												"
